,id,Title,Thumbnail,Short Description,Game URL,Genre,Platform,Publisher,Developer,Release Date,FreeToGame Profile URL
61,601,Delta Force,https://www.freetogame.com/g/601/thumbnail.jpg,A free-to-play team-based tactical shooter.,https://www.freetogame.com/open/delta-force,Shooter,PC (Windows),TiMi Studio Group,Team Jade,2024-12-04,https://www.freetogame.com/delta-force
62,597,Strinova,https://www.freetogame.com/g/597/thumbnail.jpg,A third-person tactical shooter that features the unique mechanic of allowing players to switch between three-dimensional and two-dimensional forms.,https://www.freetogame.com/open/strinova,Shooter,PC (Windows),iDreamSky,iDreamSky,2024-11-21,https://www.freetogame.com/strinova
63,598,SUPERVIVE,https://www.freetogame.com/g/598/thumbnail.jpg,"Combine MOBAs, battle royales, and hero shooters into one fast paced game hand you have SUPERVIVE.",https://www.freetogame.com/open/supervive,MOBA,PC (Windows),Theorycraft Games,Theorycraft Games,2024-11-20,https://www.freetogame.com/supervive
64,592,Starborne: Frontiers,https://www.freetogame.com/g/592/thumbnail.jpg,A tactical autobattler set 400 years in the future.,https://www.freetogame.com/open/starborne-frontiers,Strategy,PC (Windows),Solid Clouds hf.,Solid Clouds hf.,2024-10-14,https://www.freetogame.com/starborne-frontiers
65,593,Return Alive,https://www.freetogame.com/g/593/thumbnail.jpg,A free-to-play top-down tactical shooter.,https://www.freetogame.com/open/return-alive,Shooter,PC (Windows),KOG,KOG,2024-10-23,https://www.freetogame.com/return-alive
66,587,Spectre Divide,https://www.freetogame.com/g/587/thumbnail.jpg,"A 3v3 tactical shooter developed and published by Mountaintop Studios in partnership with former pro gamer shroud,",https://www.freetogame.com/open/spectre-divide,Shooter,PC (Windows),Mountaintop Studios,Mountaintop Studios,2024-09-03,https://www.freetogame.com/spectre-divide
67,588,Vigor,https://www.freetogame.com/g/588/thumbnail.jpg,A free-to-play looter shooter from the developers of Operation Flashpoint and the Arma series.,https://www.freetogame.com/open/vigor,Shooter,PC (Windows),Bohemia Interactive ,Bohemia Interactive,2024-09-18,https://www.freetogame.com/vigor
68,602,Smite 2,https://www.freetogame.com/g/602/thumbnail.jpg,The free-to-play Unreal Engine 5-powered sequel to the popular third-person MOBA,https://www.freetogame.com/open/smite-2,MOBA,PC (Windows),Hi-Rez Studios,Titan Forge Games,2024-08-27,https://www.freetogame.com/smite-2
69,583,The First Descendant,https://www.freetogame.com/g/583/thumbnail.jpg,A free-to-play third-person co-op looter shooter developed and published by Nexon.,https://www.freetogame.com/open/the-first-descendant,Shooter,PC (Windows),Nexon,"Nexon Games Co., Ltd.",2024-07-02,https://www.freetogame.com/the-first-descendant
70,584,Once Human,https://www.freetogame.com/g/584/thumbnail.jpg,A post-apocalyptic open-world survival game from Starry Studio.,https://www.freetogame.com/open/once-human,Shooter,PC (Windows),Starry Studio,Starry Studio,2024-07-09,https://www.freetogame.com/once-human
71,586,Stormgate,https://www.freetogame.com/g/586/thumbnail.jpg,A free-to-play science fantasy real-time strategy game in which humans and robots defend Earth from alien forces.,https://www.freetogame.com/open/stormgate,Strategy,PC (Windows),Frost Giant Studios,Frost Giant Studios,2024-07-30,https://www.freetogame.com/stormgate
72,634,Zenless Zone Zero,https://www.freetogame.com/g/634/thumbnail.jpg,A free-to-play gacha-style ARPG in a post-apocalyptic urban setting.,https://www.freetogame.com/open/zenless-zone-zero,ARPG,PC (Windows),HoYoverse,HoYoverse,2024-07-04,https://www.freetogame.com/zenless-zone-zero
73,591,Battle Crush,https://www.freetogame.com/g/591/thumbnail.jpg,An action brawler for up to 30 players.,https://www.freetogame.com/open/battle-crush,Battle Royale,PC (Windows),NCSoft,NCSoft,2024-06-27,https://www.freetogame.com/battle-crush
74,580,Screenplay CCG,https://www.freetogame.com/g/580/thumbnail.jpg,A collectible card game inspired by movie making.,https://www.freetogame.com/open/screenplay,Card Game,PC (Windows),Comico Games,Comico Games,2024-05-13,https://www.freetogame.com/screenplay
75,585,SolForge Fusion,https://www.freetogame.com/g/585/thumbnail.jpg,A card-battling game in which each card levels up and becomes more powerful.,https://www.freetogame.com/open/solforge-fusion,Card Game,PC (Windows),Stone Blade Entertainment,"Richard Garfield, Justin Gary",2024-04-16,https://www.freetogame.com/solforge-fusion
76,589,Sky: Children of the Light,https://www.freetogame.com/g/589/thumbnail.jpg,A cozy free-to-play MMORPG from thatgamecompany.,https://www.freetogame.com/open/sky-children-of-the-light,MMORPG,PC (Windows),thatgamecompany,thatgamecompany,2024-04-10,https://www.freetogame.com/sky-children-of-the-light
77,578,Predecessor,https://www.freetogame.com/g/578/thumbnail.jpg,A free-to-play MOBA shooter developed and published by Omeda Studios.,https://www.freetogame.com/open/predecessor,MOBA,PC (Windows),Omeda Studios,Omeda Studios,2024-03-28,https://www.freetogame.com/predecessor
78,579,Project Apidom,https://www.freetogame.com/g/579/thumbnail.jpg,A free-to-play apocalyptic extraction RPG with MOBA-like combat.,https://www.freetogame.com/open/project-apidom,MOBA,PC (Windows),"Breach.gg, RedTigerPro",Breach.gg,2024-03-29,https://www.freetogame.com/project-apidom
79,46,RAID: Shadow Legends,https://www.freetogame.com/g/46/thumbnail.jpg,RAID: Shadow Legends is a free-to-play turn-based fantasy RPG with hundreds of champions and several game modes.,https://www.freetogame.com/open/raid-shadow-legends,RPG,PC (Windows),Plarium Global Ltd,Plarium Global Ltd,2024-01-09,https://www.freetogame.com/raid-shadow-legends
80,572,Ravendawn,https://www.freetogame.com/g/572/thumbnail.jpg,A 2D top-down MMORPG featuring homesteading and building mechanics.,https://www.freetogame.com/open/ravendawn,MMORPG,PC (Windows),Tavernlight Games,Tavernlight Games,2024-01-16,https://www.freetogame.com/ravendawn
81,575,One Punch Man: World,https://www.freetogame.com/g/575/thumbnail.jpg,A free-to-play multiplayer 3D action game from Crunchyroll Games.,https://www.freetogame.com/open/one-punch-man-world,Action Game,PC (Windows),Perfect World Games,Crunchyroll,2024-01-31,https://www.freetogame.com/one-punch-man-world
82,576,Battle Teams 2,https://www.freetogame.com/g/576/thumbnail.jpg,A multiplayer tactical shooter with an Eastern aesthetic.,https://www.freetogame.com/open/battle-teams-2,Shooter,PC (Windows),Wizard Games Global,Wizard Games Global,2024-01-31,https://www.freetogame.com/battle-teams-2
83,570,The Finals,https://www.freetogame.com/g/570/thumbnail.jpg,A game-show style PvP shooter from Embark Studios.,https://www.freetogame.com/open/the-finals,Shooter,PC (Windows),Embark Studios,Embark Studios,2023-12-07,https://www.freetogame.com/the-finals
84,571,Infinite Borders,https://www.freetogame.com/g/571/thumbnail.jpg,A free-to-play strategy game from NetEase set during China’s Three Kingdoms period.,https://www.freetogame.com/open/infinite-borders,Strategy,PC (Windows),NetEase Games,NetEase Games,2023-12-22,https://www.freetogame.com/infinite-borders
85,569,Destiny's Divide,https://www.freetogame.com/g/569/thumbnail.jpg,Free-to-play PvP Fantasy Card Game for competitive card game players.,https://www.freetogame.com/open/destinys-divide,Card Game,PC (Windows),Fobia,Fobia,2023-11-03,https://www.freetogame.com/destinys-divide
86,568,"Warhammer 40,000: Warpforge",https://www.freetogame.com/g/568/thumbnail.jpg,A free-to-play CCG set in the Warhammer 40K universe.,https://www.freetogame.com/open/warhammer-40000-warpforge,Card Game,PC (Windows),Everguild Ltd.,Everguild Ltd.,2023-10-19,https://www.freetogame.com/warhammer-40000-warpforge
87,567,Microvolts: Recharged,https://www.freetogame.com/g/567/thumbnail.jpg,A lobby-based third-person shooter with a toy-theme.,https://www.freetogame.com/open/microvolts,Shooter,PC (Windows),Masangsoft,Masangsoft,2023-09-08,https://www.freetogame.com/microvolts
88,577,Deceit 2,https://www.freetogame.com/g/577/thumbnail.jpg,A social deduction game from World Makers.,https://www.freetogame.com/open/deceit-2,Action,PC (Windows),World Makers,World Makers,2023-09-14,https://www.freetogame.com/deceit-2
89,630,My Hero Ultra Rumble,https://www.freetogame.com/g/630/thumbnail.jpg,A free-to-play 24-person battle royale based on My Hero Academia.,https://www.freetogame.com/open/my-hero-ultra-rumble,Battle Royale,PC (Windows),Bandai Namco,Bandai Namco,2023-09-28,https://www.freetogame.com/my-hero-ultra-rumble
90,558,Hawked,https://www.freetogame.com/g/558/thumbnail.jpg,A free-to-play PvPvE treasure hunting shooter.,https://www.freetogame.com/open/hawked,Shooter,PC (Windows),My.Games,My.Games,2023-08-03,https://www.freetogame.com/hawked
91,559,Tales Of Yore,https://www.freetogame.com/g/559/thumbnail.jpg,A 2D MMORPG with lots of RPG tropes.,https://www.freetogame.com/open/tales-of-yore,MMORPG,"PC (Windows), Web Browser",Coke And Code,Coke And Code,2023-08-08,https://www.freetogame.com/tales-of-yore
92,562,Waven,https://www.freetogame.com/g/562/thumbnail.jpg,A free-to-play online tactical RPG from Ankama.,https://www.freetogame.com/open/waven,Strategy,PC (Windows),Ankama Studio,Ankama Games,2023-08-16,https://www.freetogame.com/waven
93,566,Town of Salem 2,https://www.freetogame.com/g/566/thumbnail.jpg,A deduction game set in Salem.,https://www.freetogame.com/open/town-of-salem-2,Strategy,PC (Windows),BlankMediaGames LLC,BlankMediaGames LLC,2023-08-25,https://www.freetogame.com/town-of-salem-2
94,556,Naraka: Bladepoint,https://www.freetogame.com/g/556/thumbnail.jpg,A free-to-play melee focused battle royale.,https://www.freetogame.com/open/naraka-bladepoint,Battle Royale,PC (Windows),24 Entertainment,NetEase,2023-07-13,https://www.freetogame.com/naraka-bladepoint
95,554,Undawn,https://www.freetogame.com/g/554/thumbnail.jpg,A free-to-play open-world survival RPG developed by LightSpeed studios and published by Level Infinite.,https://www.freetogame.com/open/undawn,Shooter,PC (Windows),Level Infinite,LightSpeed Studios,2023-06-15,https://www.freetogame.com/undawn
96,268,Eden Eternal,https://www.freetogame.com/g/268/thumbnail.jpg,A free to play fantasy MMORPG with cute anime-inspired graphics.,https://www.freetogame.com/open/eden-eternal,MMORPG,PC (Windows),X-Legend Entertainment,X-Legend Entertainment,2023-05-10,https://www.freetogame.com/eden-eternal
97,551,Veiled Experts,https://www.freetogame.com/g/551/thumbnail.jpg,A free-to-play multiplayer shooter game focused on the search and destroy mode of classic shooters.,https://www.freetogame.com/open/veiled-experts,Shooter,PC (Windows),"Nexon Games Co., LTC",Nexon,2023-05-18,https://www.freetogame.com/veiled-experts
